Name Repo Contributor Week "Number of Commits" "Number of Lines Added" "Number of Lines Deleted"
rk2810 ProjectPython rk2810 2017-06-25 1 38 16
shuttlesworthNEO AV-MRIU rk2810 2017-06-25 0 0 0
shuttlesworthNEO AV-MRIU shuttlesworthNEO 2017-06-25 0 0 0
princeyadav05 Github-Tracker deejay6 2017-06-25 2 31 75
princeyadav05 Github-Tracker Princeyadav05 2017-06-25 17 849 364
princeyadav05 Github-Tracker rk2810 2017-06-25 19 432 1268
